name,provider,image
Big Bass Reel Repeat,Pragmatic Play,https://mediumrare.imgix.net/7f65a3148997321a5a97908745726044e003b310bc0e52a397acef36b525dcbe?w=180&h=236&fit=min&auto=format
4 Pots Riches: Hold and Win,Playson,https://mediumrare.imgix.net/bafe0b24289f7befd07e29ad50648d78ad773fd4f70bd0fabc3ec2a1d3955be2?w=180&h=236&fit=min&auto=format
Joker vs Joker,BGaming,https://mediumrare.imgix.net/ac863c61d78d75bbdd0dd658094326569e041e3fc58c96fd14f1600d7bec5722?w=180&h=236&fit=min&auto=format
Coin Volcano 2,3 Oaks Gaming,https://mediumrare.imgix.net/51ca2b60ed5871d146127670b7115700f19f052923b93a1d37c0d29b990226d0?w=180&h=236&fit=min&auto=format
Pixel Castle,Twist Gaming,https://mediumrare.imgix.net/27afe11d6527ecf481000eec2f9b0a2c070a29af9a99867046fd95b49f773004?w=180&h=236&fit=min&auto=format
Rockin’ Joker: Hold and Win,Playson,https://mediumrare.imgix.net/722b23d7e52ba00e6ff3ada0601eac8d85faffde7167248166110637a2c2e964?w=180&h=236&fit=min&auto=format
Rainbow Princess,Hacksaw Gaming,https://mediumrare.imgix.net/968f7682f3af160f60d88eeb8f5c3e22a280b142f29b64dd4b765998ab28a591?w=180&h=236&fit=min&auto=format
Big Cat Gold,Blueprint,https://mediumrare.imgix.net/f5e03af1b8d6c313e59aaa9f3609a9135ff55f512799ffc653195e53a151d962?w=180&h=236&fit=min&auto=format
Celtic Princess,Skywind,https://mediumrare.imgix.net/8ef768d69c44785236a4ad53c1d66110abea2cb7d0ed3a2d929f5328cf5a9589?w=180&h=236&fit=min&auto=format
Argonauts,Pragmatic Play,https://mediumrare.imgix.net/2336c6f0f73067111a7940d14b0f62d5b8c0bb08b21baef76c7b4d8c403de21b?w=180&h=236&fit=min&auto=format
Unholy Mystery,Just Slots,https://mediumrare.imgix.net/fe59e147e3a6716a4e28ce3790cd817618ae0eb05ca8174f5a33a19027bbe55e?w=180&h=236&fit=min&auto=format
Grand Mustang,BGaming,https://mediumrare.imgix.net/a707ea80e86e7609d1e43cc9db4d0fb4d246a03820e668f7b25a0c4a100a0608?w=180&h=236&fit=min&auto=format
Broccoli Bankers Blitz,18 Gaming,https://mediumrare.imgix.net/5bc5a2fe049f4ee058c06c02849bb323444a835b39721b1b2a11dedbb84a1c77?w=180&h=236&fit=min&auto=format
Seamen,Nolimit City,https://mediumrare.imgix.net/1714d1bc91836fbe06463be44271eeb0559bee7576e5810d551a28fd66a46a98?w=180&h=236&fit=min&auto=format
Sky Vault,Quickstrike,https://mediumrare.imgix.net/443136d4a9600c546a26464f29235a5ee7434a2533619cd5e24449c343b2353e?w=180&h=236&fit=min&auto=format
Call of Zuma,Titan Gaming,https://mediumrare.imgix.net/8d711e29ccd5aa4b6de43d476390dde098421dd200587b87c032c066b914b401?w=180&h=236&fit=min&auto=format
Fruit Burst Bonanza,18 Gaming,https://mediumrare.imgix.net/5a2ec54530e7616df5f7dd05aed17bc390039d32b879951bbf30a9aa82d0d0b6?w=180&h=236&fit=min&auto=format
Pachinko Planet!,Mirror Image Gaming,https://mediumrare.imgix.net/b992f49da667bca318f94e8d0bfa36cf5c2a663cb0b5377e9c2f011adbda9481?w=180&h=236&fit=min&auto=format
